speaker_id,audio_id,audio_path,is_bonafide,label_id,label,y_true,y_pred,y_score,correct
E_2192,E_0004993854,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0004993854.flac,True,1,bonafide,1.0,0,0.0042820065,False
E_2426,E_0006028981,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0006028981.flac,True,1,bonafide,1.0,0,0.0025560544,False
E_1563,E_0009977947,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0009977947.flac,True,1,bonafide,1.0,0,0.0020974292,False
E_0532,E_0003351162,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0003351162.flac,True,1,bonafide,1.0,0,0.0071854834,False
E_1464,E_0005789289,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0005789289.flac,True,1,bonafide,1.0,0,0.009999872,False
E_0602,E_0000502309,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0000502309.flac,True,1,bonafide,1.0,0,0.01320535,False
E_1383,E_0005124619,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0005124619.flac,True,1,bonafide,1.0,0,0.0011696713,False
E_2081,E_0007776358,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0007776358.flac,True,1,bonafide,1.0,0,0.00140626,False
E_0390,E_0002566328,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0002566328.flac,True,1,bonafide,1.0,0,0.0017772856,False
E_2207,E_0001019563,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0001019563.flac,True,1,bonafide,1.0,0,0.0016614452,False
E_1271,E_0007005615,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0007005615.flac,True,1,bonafide,1.0,0,0.00087905483,False
E_5237,E_0002031519,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0002031519.flac,True,1,bonafide,1.0,0,0.00077822065,False
E_2303,E_0009917704,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0009917704.flac,True,1,bonafide,1.0,0,0.0110286595,False
E_1229,E_0005235902,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0005235902.flac,True,1,bonafide,1.0,0,0.0006492578,False
E_5042,E_0005817104,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0005817104.flac,True,1,bonafide,1.0,0,0.0006240539,False
E_0180,E_0006571829,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0006571829.flac,True,1,bonafide,1.0,0,0.01586138,False
E_4849,E_0006624276,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0006624276.flac,True,1,bonafide,1.0,0,0.0022952177,False
E_3262,E_0001726079,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0001726079.flac,True,1,bonafide,1.0,0,0.0020176442,False
E_4783,E_0003408214,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0003408214.flac,True,1,bonafide,1.0,0,0.00076662365,False
E_0823,E_0003473090,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0003473090.flac,True,1,bonafide,1.0,0,0.006239804,False
E_2194,E_0008424104,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0008424104.flac,True,1,bonafide,1.0,0,0.0004065171,False
E_2223,E_0002647251,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0002647251.flac,True,1,bonafide,1.0,0,0.0008290503,False
E_2677,E_0006816142,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0006816142.flac,True,1,bonafide,1.0,0,0.0010811939,False
E_3330,E_0004975395,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0004975395.flac,True,1,bonafide,1.0,0,0.00040574858,False
E_4739,E_0006954409,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0006954409.flac,True,1,bonafide,1.0,0,0.00074977725,False
E_2881,E_0004189291,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0004189291.flac,True,1,bonafide,1.0,0,0.00073851825,False
E_2680,E_0002996669,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0002996669.flac,True,1,bonafide,1.0,0,0.0012854787,False
E_0148,E_0001219778,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0001219778.flac,True,1,bonafide,1.0,0,0.0022189463,False
E_4671,E_0008977493,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0008977493.flac,True,1,bonafide,1.0,0,0.0018015226,False
E_5097,E_0007032580,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0007032580.flac,True,1,bonafide,1.0,0,0.017799871,False
E_2918,E_0008486317,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0008486317.flac,True,1,bonafide,1.0,0,0.0006435194,False
E_5293,E_0002365394,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0002365394.flac,True,1,bonafide,1.0,0,0.00088363927,False
E_5398,E_0000159073,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0000159073.flac,True,1,bonafide,1.0,0,0.001756346,False
E_0048,E_0000139121,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0000139121.flac,True,1,bonafide,1.0,0,0.0011484913,False
E_0378,E_0005042867,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0005042867.flac,True,1,bonafide,1.0,0,0.0014814507,False
E_0611,E_0005990082,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0005990082.flac,True,1,bonafide,1.0,0,0.0009964112,False
E_1065,E_0001199575,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0001199575.flac,True,1,bonafide,1.0,0,0.0005674558,False
E_4867,E_0004420293,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0004420293.flac,True,1,bonafide,1.0,0,0.0012011211,False
E_2270,E_0006573411,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0006573411.flac,True,1,bonafide,1.0,0,0.00057988585,False
E_0413,E_0008325057,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0008325057.flac,True,1,bonafide,1.0,0,0.004721582,False
E_3291,E_0006636132,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0006636132.flac,True,1,bonafide,1.0,0,0.00053568406,False
E_3370,E_0002753421,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0002753421.flac,True,1,bonafide,1.0,0,0.002065713,False
E_0738,E_0002462947,/root/audio-deepfakes-airi/data/audio/last_eval/flac_E_eval/E_0002462947.flac,True,1,bonafide,1.0,0,0.0037988469,False
